name;vendor;code;pod;squonk;mechanical;bypass;batteries;power;efficiency;with510;capacity
Converter MOD Full Kit;ambition-mods.mod;converter-mod-full-kit;false;false;false;false;1;50;91;true;
Luna;asmodus.mod;luna;false;true;false;true;1;80;;true;
URSA Quest;lost-vape.mod;ursa-quest;true;false;false;false;1;100;;true;
iStick Power 2C Box;e-leaf.mod;istick-power-2c-box;true;false;false;false;2;160;;true;
KOKO Prime;uwell.mod;koko-prime;true;false;false;true;0;15;;false;690
Aegis Boost Plus Pod;geekvape.mod;aegis-boost-plus-pod;true;false;false;false;1;40;;true;
Thelema DNA 250C;lost-vape.mod;thelema-dna-250c;false;false;false;false;2;200;97;true;
Dani Box Mini Mod;dicodes.mod;dani-box-mini-mod;false;false;false;false;1;80;;true;
Dani Box 21700 MOD;dicodes.mod;dani-box-21700-mod;false;false;false;false;1;80;;true;
Dani SBS 18650 MOD;dicodes.mod;dani-sbs-18650-mod;false;false;false;false;1;80;;true;
Dani Box V2 MOD;dicodes.mod;dani-box-v2-mod;false;false;false;false;1;80;;true;
Hyperion DNA 100C;lost-vape.mod;hyperion-dna-100c;false;false;false;false;1;100;97;true;
